"id","province","district","urban_rural","age_group","gender","education_level","employed","health_insurance","income","stratum","psu","weight"
1540,"Prov10","Dist25","Rural","0-14","Female","Secondary",0,0,48920,"Prov10_Rural","Prov10_Rural_12",93.3899526908694
1541,"Prov2","Dist7","Urban","25-44","Female","Secondary",0,0,46425,"Prov2_Urban","Prov2_Urban_4",131.832986879423
1542,"Prov8","Dist27","Urban","45-64","Female","Tertiary",1,1,91105,"Prov8_Urban","Prov8_Urban_10",86.7516533136787
1543,"Prov6","Dist18","Urban","25-44","Male","None",1,0,109174,"Prov6_Urban","Prov6_Urban_9",106.840376940182
1544,"Prov6","Dist8","Rural","0-14","Female","Primary",0,1,10903,"Prov6_Rural","Prov6_Rural_1",115.536655419542
1545,"Prov5","Dist4","Rural","65+","Female","Tertiary",0,0,79654,"Prov5_Rural","Prov5_Rural_4",110.289452423252
1546,"Prov6","Dist22","Rural","45-64","Female","Secondary",0,1,12636,"Prov6_Rural","Prov6_Rural_2",115.536655419542
1547,"Prov1","Dist13","Rural","0-14","Male","Tertiary",1,1,160513,"Prov1_Rural","Prov1_Rural_2",139.103490345743
1548,"Prov1","Dist8","Rural","25-44","Female","Tertiary",0,0,15765,"Prov1_Rural","Prov1_Rural_19",139.103490345743
1549,"Prov7","Dist8","Rural","0-14","Female","Tertiary",1,0,120365,"Prov7_Rural","Prov7_Rural_8",94.777534377427
1550,"Prov5","Dist12","Rural","25-44","Female","Primary",0,0,19256,"Prov5_Rural","Prov5_Rural_8",110.289452423252
1551,"Prov7","Dist16","Rural","25-44","Male","Secondary",1,0,42029,"Prov7_Rural","Prov7_Rural_16",94.777534377427
1552,"Prov9","Dist16","Urban","15-24","Male","Tertiary",1,1,129912,"Prov9_Urban","Prov9_Urban_9",80.6751578884808
1553,"Prov3","Dist8","Urban","25-44","Female","Secondary",0,1,35702,"Prov3_Urban","Prov3_Urban_10",95.0637042351494
1554,"Prov2","Dist17","Urban","65+","Male","Secondary",0,0,148024,"Prov2_Urban","Prov2_Urban_17",131.832986879423
1555,"Prov8","Dist20","Rural","15-24","Male","Tertiary",1,0,64992,"Prov8_Rural","Prov8_Rural_6",98.3084531593788
1556,"Prov3","Dist18","Rural","0-14","Female","Tertiary",1,0,39193,"Prov3_Rural","Prov3_Rural_2",112.399215311118
1557,"Prov6","Dist8","Rural","65+","Male","Primary",0,0,12251,"Prov6_Rural","Prov6_Rural_6",115.536655419542
1558,"Prov4","Dist28","Rural","0-14","Female","Primary",1,0,53706,"Prov4_Rural","Prov4_Rural_13",95.2025594827289
1559,"Prov5","Dist11","Rural","25-44","Female","None",0,1,29103,"Prov5_Rural","Prov5_Rural_3",110.289452423252
1560,"Prov6","Dist5","Urban","25-44","Female","Secondary",1,1,52904,"Prov6_Urban","Prov6_Urban_13",106.840376940182
1561,"Prov1","Dist21","Urban","45-64","Female","Primary",1,0,69693,"Prov1_Urban","Prov1_Urban_20",103.035300315577
1562,"Prov10","Dist16","Urban","25-44","Female","Secondary",0,0,95889,"Prov10_Urban","Prov10_Urban_8",95.3933680941479
1563,"Prov1","Dist23","Rural","25-44","Male","Tertiary",1,0,54300,"Prov1_Rural","Prov1_Rural_4",139.103490345743
1564,"Prov3","Dist23","Rural","15-24","Male","Primary",1,0,21430,"Prov3_Rural","Prov3_Rural_17",112.399215311118
1565,"Prov5","Dist14","Rural","65+","Male","Secondary",1,1,78076,"Prov5_Rural","Prov5_Rural_1",110.289452423252
1566,"Prov9","Dist8","Rural","25-44","Male","Primary",1,0,18220,"Prov9_Rural","Prov9_Rural_7",102.574445888518
1567,"Prov6","Dist23","Rural","15-24","Female","Tertiary",0,1,23056,"Prov6_Rural","Prov6_Rural_8",115.536655419542
1568,"Prov7","Dist19","Urban","0-14","Male","Secondary",1,1,183678,"Prov7_Urban","Prov7_Urban_5",77.4277643529747
1569,"Prov3","Dist13","Urban","15-24","Male","Primary",0,1,20680,"Prov3_Urban","Prov3_Urban_19",95.0637042351494
1570,"Prov3","Dist30","Rural","45-64","Female","Primary",1,0,37079,"Prov3_Rural","Prov3_Rural_3",112.399215311118
1571,"Prov10","Dist18","Rural","25-44","Male","Primary",0,0,26812,"Prov10_Rural","Prov10_Rural_15",93.3899526908694
1572,"Prov5","Dist3","Rural","25-44","Female","Secondary",0,0,45091,"Prov5_Rural","Prov5_Rural_5",110.289452423252
1573,"Prov4","Dist12","Rural","45-64","Female","Tertiary",1,1,94838,"Prov4_Rural","Prov4_Rural_5",95.2025594827289
1574,"Prov7","Dist14","Rural","25-44","Female","Tertiary",0,1,41020,"Prov7_Rural","Prov7_Rural_14",94.777534377427
1575,"Prov4","Dist3","Rural","65+","Female","Tertiary",1,1,68948,"Prov4_Rural","Prov4_Rural_12",95.2025594827289
1576,"Prov2","Dist9","Rural","25-44","Female","Primary",0,0,87157,"Prov2_Rural","Prov2_Rural_3",104.857453934119
1577,"Prov2","Dist12","Urban","0-14","Female","Secondary",1,1,223606,"Prov2_Urban","Prov2_Urban_2",131.832986879423
1578,"Prov7","Dist7","Rural","25-44","Female","Primary",0,0,25319,"Prov7_Rural","Prov7_Rural_1",94.777534377427
1579,"Prov7","Dist21","Rural","65+","Male","Tertiary",0,1,22532,"Prov7_Rural","Prov7_Rural_16",94.777534377427
1580,"Prov7","Dist11","Rural","45-64","Male","Secondary",0,0,32541,"Prov7_Rural","Prov7_Rural_15",94.777534377427
1581,"Prov9","Dist19","Rural","0-14","Male","Secondary",0,0,44947,"Prov9_Rural","Prov9_Rural_4",102.574445888518
1582,"Prov8","Dist9","Rural","0-14","Female","Secondary",0,0,53468,"Prov8_Rural","Prov8_Rural_16",98.3084531593788
1583,"Prov7","Dist9","Urban","25-44","Male","Tertiary",1,0,73055,"Prov7_Urban","Prov7_Urban_16",77.4277643529747
1584,"Prov4","Dist3","Urban","15-24","Male","Secondary",0,1,85822,"Prov4_Urban","Prov4_Urban_14",125.766945545763
1585,"Prov3","Dist15","Rural","65+","Male","Secondary",0,0,159294,"Prov3_Rural","Prov3_Rural_9",112.399215311118
1586,"Prov5","Dist28","Rural","25-44","Male","Primary",0,0,24616,"Prov5_Rural","Prov5_Rural_17",110.289452423252
1587,"Prov1","Dist9","Rural","0-14","Female","Tertiary",0,0,41283,"Prov1_Rural","Prov1_Rural_4",139.103490345743
1588,"Prov10","Dist8","Urban","15-24","Male","Tertiary",1,1,73515,"Prov10_Urban","Prov10_Urban_18",95.3933680941479
1589,"Prov6","Dist16","Rural","25-44","Female","Tertiary",0,0,29566,"Prov6_Rural","Prov6_Rural_7",115.536655419542
1590,"Prov8","Dist4","Rural","0-14","Female","Secondary",1,0,35044,"Prov8_Rural","Prov8_Rural_13",98.3084531593788
1591,"Prov3","Dist12","Rural","45-64","Male","Tertiary",1,0,30669,"Prov3_Rural","Prov3_Rural_6",112.399215311118
1592,"Prov9","Dist25","Urban","45-64","Female","Primary",1,1,18356,"Prov9_Urban","Prov9_Urban_20",80.6751578884808
1593,"Prov5","Dist14","Rural","45-64","Female","Secondary",0,0,49038,"Prov5_Rural","Prov5_Rural_9",110.289452423252
1594,"Prov2","Dist10","Rural","15-24","Female","Secondary",0,0,21632,"Prov2_Rural","Prov2_Rural_11",104.857453934119
1595,"Prov4","Dist14","Rural","45-64","Male","Secondary",0,0,51088,"Prov4_Rural","Prov4_Rural_17",95.2025594827289
1596,"Prov6","Dist22","Rural","65+","Male","Secondary",0,0,19985,"Prov6_Rural","Prov6_Rural_16",115.536655419542
1597,"Prov8","Dist8","Urban","15-24","Male","Secondary",0,0,35508,"Prov8_Urban","Prov8_Urban_11",86.7516533136787
1598,"Prov7","Dist18","Rural","65+","Male","Tertiary",1,1,21737,"Prov7_Rural","Prov7_Rural_10",94.777534377427
1599,"Prov3","Dist6","Rural","0-14","Male","Primary",0,0,41920,"Prov3_Rural","Prov3_Rural_16",112.399215311118
1600,"Prov6","Dist10","Rural","15-24","Male","Primary",0,0,21383,"Prov6_Rural","Prov6_Rural_9",115.536655419542
1601,"Prov9","Dist24","Rural","0-14","Female","Secondary",0,0,24573,"Prov9_Rural","Prov9_Rural_14",102.574445888518
1602,"Prov7","Dist17","Rural","65+","Female","Secondary",0,0,56201,"Prov7_Rural","Prov7_Rural_15",94.777534377427
1603,"Prov3","Dist30","Rural","45-64","Female","Tertiary",0,0,38376,"Prov3_Rural","Prov3_Rural_4",112.399215311118
1604,"Prov6","Dist24","Urban","0-14","Female","None",0,1,24771,"Prov6_Urban","Prov6_Urban_14",106.840376940182
1605,"Prov7","Dist28","Urban","15-24","Female","Primary",0,1,24357,"Prov7_Urban","Prov7_Urban_9",77.4277643529747
1606,"Prov4","Dist10","Rural","25-44","Female","Secondary",0,0,42175,"Prov4_Rural","Prov4_Rural_9",95.2025594827289
1607,"Prov3","Dist3","Rural","65+","Female","Secondary",0,0,19718,"Prov3_Rural","Prov3_Rural_16",112.399215311118
1608,"Prov10","Dist9","Urban","45-64","Female","Primary",1,1,141645,"Prov10_Urban","Prov10_Urban_18",95.3933680941479
1609,"Prov2","Dist8","Rural","15-24","Female","Primary",0,1,11452,"Prov2_Rural","Prov2_Rural_8",104.857453934119
1610,"Prov5","Dist5","Urban","25-44","Male","Primary",0,0,20989,"Prov5_Urban","Prov5_Urban_11",114.42922458093
1611,"Prov6","Dist20","Rural","15-24","Male","Primary",0,1,20741,"Prov6_Rural","Prov6_Rural_20",115.536655419542
1612,"Prov10","Dist6","Rural","15-24","Female","Secondary",0,0,34243,"Prov10_Rural","Prov10_Rural_6",93.3899526908694
1613,"Prov2","Dist28","Rural","25-44","Female","None",0,1,24105,"Prov2_Rural","Prov2_Rural_4",104.857453934119
1614,"Prov2","Dist4","Urban","25-44","Female","Primary",0,1,61244,"Prov2_Urban","Prov2_Urban_9",131.832986879423
1615,"Prov1","Dist9","Rural","15-24","Male","None",0,0,44710,"Prov1_Rural","Prov1_Rural_8",139.103490345743
1616,"Prov6","Dist20","Rural","65+","Female","Tertiary",1,1,113413,"Prov6_Rural","Prov6_Rural_10",115.536655419542
1617,"Prov1","Dist6","Urban","15-24","Male","Secondary",0,1,106370,"Prov1_Urban","Prov1_Urban_3",103.035300315577
1618,"Prov1","Dist19","Rural","45-64","Male","Secondary",0,0,31533,"Prov1_Rural","Prov1_Rural_9",139.103490345743
1619,"Prov7","Dist3","Rural","65+","Female","Tertiary",1,0,32438,"Prov7_Rural","Prov7_Rural_5",94.777534377427
1620,"Prov5","Dist21","Urban","45-64","Female","Primary",0,0,30455,"Prov5_Urban","Prov5_Urban_7",114.42922458093
1621,"Prov1","Dist4","Urban","15-24","Male","Secondary",0,0,36396,"Prov1_Urban","Prov1_Urban_1",103.035300315577
1622,"Prov5","Dist24","Rural","45-64","Male","Secondary",0,0,28039,"Prov5_Rural","Prov5_Rural_6",110.289452423252
1623,"Prov6","Dist22","Rural","65+","Female","Tertiary",0,0,40502,"Prov6_Rural","Prov6_Rural_14",115.536655419542
1624,"Prov5","Dist9","Urban","65+","Male","Secondary",0,1,64242,"Prov5_Urban","Prov5_Urban_14",114.42922458093
1625,"Prov2","Dist21","Rural","15-24","Male","Secondary",1,1,22631,"Prov2_Rural","Prov2_Rural_8",104.857453934119
1626,"Prov7","Dist25","Rural","0-14","Female","Secondary",0,0,33555,"Prov7_Rural","Prov7_Rural_11",94.777534377427
1627,"Prov7","Dist11","Rural","65+","Female","Secondary",0,0,51428,"Prov7_Rural","Prov7_Rural_10",94.777534377427
1628,"Prov6","Dist11","Rural","15-24","Male","Tertiary",0,1,70580,"Prov6_Rural","Prov6_Rural_4",115.536655419542
1629,"Prov1","Dist12","Rural","0-14","Male","Primary",0,0,19012,"Prov1_Rural","Prov1_Rural_4",139.103490345743
1630,"Prov4","Dist15","Rural","15-24","Female","Secondary",1,1,45384,"Prov4_Rural","Prov4_Rural_11",95.2025594827289
1631,"Prov1","Dist15","Urban","15-24","Female","Secondary",1,1,31315,"Prov1_Urban","Prov1_Urban_2",103.035300315577
1632,"Prov4","Dist20","Rural","15-24","Female","Tertiary",0,0,26212,"Prov4_Rural","Prov4_Rural_8",95.2025594827289
1633,"Prov9","Dist19","Urban","0-14","Male","Tertiary",1,0,34338,"Prov9_Urban","Prov9_Urban_13",80.6751578884808
1634,"Prov6","Dist19","Urban","25-44","Male","Secondary",1,1,168148,"Prov6_Urban","Prov6_Urban_18",106.840376940182
1635,"Prov6","Dist29","Rural","0-14","Male","Tertiary",1,1,48677,"Prov6_Rural","Prov6_Rural_10",115.536655419542
1636,"Prov3","Dist5","Rural","15-24","Male","None",0,0,45192,"Prov3_Rural","Prov3_Rural_14",112.399215311118
1637,"Prov3","Dist24","Rural","0-14","Female","Primary",1,0,41194,"Prov3_Rural","Prov3_Rural_8",112.399215311118
1638,"Prov1","Dist27","Rural","0-14","Male","Primary",0,0,57724,"Prov1_Rural","Prov1_Rural_4",139.103490345743
1639,"Prov5","Dist13","Urban","25-44","Male","Secondary",1,1,73098,"Prov5_Urban","Prov5_Urban_4",114.42922458093
1640,"Prov9","Dist8","Rural","65+","Male","Secondary",0,1,33809,"Prov9_Rural","Prov9_Rural_7",102.574445888518
1641,"Prov6","Dist30","Rural","25-44","Male","Secondary",0,0,5405,"Prov6_Rural","Prov6_Rural_1",115.536655419542
1642,"Prov10","Dist25","Urban","45-64","Male","Secondary",0,0,57027,"Prov10_Urban","Prov10_Urban_14",95.3933680941479
1643,"Prov7","Dist20","Urban","25-44","Male","Tertiary",1,1,53793,"Prov7_Urban","Prov7_Urban_7",77.4277643529747
1644,"Prov9","Dist21","Rural","45-64","Female","Primary",0,0,30835,"Prov9_Rural","Prov9_Rural_20",102.574445888518
1645,"Prov9","Dist25","Urban","15-24","Male","Tertiary",0,0,107319,"Prov9_Urban","Prov9_Urban_13",80.6751578884808
1646,"Prov9","Dist4","Rural","25-44","Female","Secondary",0,0,23661,"Prov9_Rural","Prov9_Rural_15",102.574445888518
1647,"Prov5","Dist10","Rural","0-14","Male","Secondary",1,1,81493,"Prov5_Rural","Prov5_Rural_10",110.289452423252
1648,"Prov6","Dist19","Rural","65+","Male","Tertiary",0,0,16424,"Prov6_Rural","Prov6_Rural_17",115.536655419542
1649,"Prov7","Dist28","Rural","25-44","Female","Tertiary",1,0,56075,"Prov7_Rural","Prov7_Rural_15",94.777534377427
1650,"Prov8","Dist20","Rural","15-24","Female","Secondary",0,1,117433,"Prov8_Rural","Prov8_Rural_4",98.3084531593788
1651,"Prov2","Dist22","Rural","25-44","Female","None",1,0,50022,"Prov2_Rural","Prov2_Rural_5",104.857453934119
1652,"Prov5","Dist21","Rural","15-24","Female","Secondary",0,0,31378,"Prov5_Rural","Prov5_Rural_17",110.289452423252
1653,"Prov1","Dist12","Urban","65+","Female","Secondary",0,1,46469,"Prov1_Urban","Prov1_Urban_7",103.035300315577
1654,"Prov3","Dist7","Rural","0-14","Male","Secondary",1,0,40159,"Prov3_Rural","Prov3_Rural_4",112.399215311118
1655,"Prov6","Dist13","Urban","0-14","Female","Secondary",1,1,169329,"Prov6_Urban","Prov6_Urban_17",106.840376940182
1656,"Prov3","Dist5","Urban","65+","Male","None",0,0,12982,"Prov3_Urban","Prov3_Urban_7",95.0637042351494
1657,"Prov10","Dist7","Rural","65+","Male","Secondary",0,0,28939,"Prov10_Rural","Prov10_Rural_12",93.3899526908694
1658,"Prov1","Dist21","Urban","25-44","Male","Secondary",0,0,12291,"Prov1_Urban","Prov1_Urban_14",103.035300315577
1659,"Prov5","Dist19","Rural","0-14","Male","Secondary",1,0,57058,"Prov5_Rural","Prov5_Rural_2",110.289452423252
1660,"Prov5","Dist14","Rural","0-14","Female","Secondary",0,0,11671,"Prov5_Rural","Prov5_Rural_20",110.289452423252
1661,"Prov4","Dist16","Rural","0-14","Male","Secondary",1,1,61394,"Prov4_Rural","Prov4_Rural_20",95.2025594827289
1662,"Prov10","Dist29","Rural","15-24","Male","Primary",0,0,21337,"Prov10_Rural","Prov10_Rural_2",93.3899526908694
1663,"Prov1","Dist14","Rural","65+","Male","Secondary",0,0,29385,"Prov1_Rural","Prov1_Rural_3",139.103490345743
1664,"Prov1","Dist18","Urban","25-44","Male","Primary",1,1,73482,"Prov1_Urban","Prov1_Urban_18",103.035300315577
1665,"Prov8","Dist6","Rural","0-14","Female","Primary",0,0,10177,"Prov8_Rural","Prov8_Rural_10",98.3084531593788
1666,"Prov10","Dist30","Rural","45-64","Male","Tertiary",0,0,24125,"Prov10_Rural","Prov10_Rural_6",93.3899526908694
1667,"Prov4","Dist8","Rural","65+","Male","None",0,0,10603,"Prov4_Rural","Prov4_Rural_15",95.2025594827289
1668,"Prov6","Dist30","Rural","45-64","Female","Primary",0,0,24366,"Prov6_Rural","Prov6_Rural_13",115.536655419542
1669,"Prov8","Dist17","Rural","25-44","Female","Primary",0,0,9050,"Prov8_Rural","Prov8_Rural_12",98.3084531593788
1670,"Prov3","Dist29","Rural","0-14","Female","Secondary",1,1,29991,"Prov3_Rural","Prov3_Rural_8",112.399215311118
1671,"Prov4","Dist20","Urban","65+","Male","Secondary",1,1,92607,"Prov4_Urban","Prov4_Urban_5",125.766945545763
1672,"Prov3","Dist25","Rural","65+","Female","Primary",0,0,20541,"Prov3_Rural","Prov3_Rural_5",112.399215311118
1673,"Prov2","Dist13","Rural","65+","Male","Secondary",0,0,30267,"Prov2_Rural","Prov2_Rural_19",104.857453934119
1674,"Prov10","Dist19","Rural","25-44","Male","Primary",1,0,88240,"Prov10_Rural","Prov10_Rural_20",93.3899526908694
1675,"Prov3","Dist20","Rural","15-24","Female","Secondary",0,0,30346,"Prov3_Rural","Prov3_Rural_6",112.399215311118
1676,"Prov2","Dist20","Urban","15-24","Male","None",1,1,98291,"Prov2_Urban","Prov2_Urban_7",131.832986879423
1677,"Prov10","Dist5","Urban","25-44","Female","Secondary",0,1,38886,"Prov10_Urban","Prov10_Urban_11",95.3933680941479
1678,"Prov3","Dist25","Urban","0-14","Female","Primary",1,1,48241,"Prov3_Urban","Prov3_Urban_7",95.0637042351494
1679,"Prov1","Dist5","Urban","25-44","Male","Primary",1,1,59435,"Prov1_Urban","Prov1_Urban_15",103.035300315577
1680,"Prov10","Dist11","Rural","65+","Male","None",0,0,17992,"Prov10_Rural","Prov10_Rural_9",93.3899526908694
1681,"Prov2","Dist26","Urban","65+","Female","Primary",0,1,47899,"Prov2_Urban","Prov2_Urban_17",131.832986879423
1682,"Prov5","Dist9","Urban","65+","Female","Secondary",0,0,61292,"Prov5_Urban","Prov5_Urban_1",114.42922458093
1683,"Prov7","Dist18","Urban","15-24","Male","None",1,0,94849,"Prov7_Urban","Prov7_Urban_2",77.4277643529747
1684,"Prov5","Dist16","Rural","45-64","Female","Secondary",0,0,50322,"Prov5_Rural","Prov5_Rural_6",110.289452423252
1685,"Prov2","Dist5","Urban","45-64","Male","None",0,0,39709,"Prov2_Urban","Prov2_Urban_3",131.832986879423
1686,"Prov3","Dist6","Rural","25-44","Female","Secondary",0,0,24797,"Prov3_Rural","Prov3_Rural_7",112.399215311118
1687,"Prov6","Dist8","Urban","15-24","Female","Primary",0,0,63880,"Prov6_Urban","Prov6_Urban_11",106.840376940182
1688,"Prov8","Dist6","Rural","25-44","Male","Tertiary",0,0,27420,"Prov8_Rural","Prov8_Rural_17",98.3084531593788
1689,"Prov1","Dist13","Rural","65+","Male","Tertiary",1,1,53909,"Prov1_Rural","Prov1_Rural_12",139.103490345743
1690,"Prov3","Dist1","Rural","0-14","Female","Secondary",0,0,21375,"Prov3_Rural","Prov3_Rural_4",112.399215311118
1691,"Prov3","Dist16","Rural","45-64","Male","Primary",1,0,46293,"Prov3_Rural","Prov3_Rural_7",112.399215311118
1692,"Prov4","Dist16","Rural","15-24","Male","Secondary",1,0,62444,"Prov4_Rural","Prov4_Rural_20",95.2025594827289
1693,"Prov3","Dist14","Urban","15-24","Female","Tertiary",0,1,93813,"Prov3_Urban","Prov3_Urban_20",95.0637042351494
1694,"Prov5","Dist15","Rural","45-64","Female","None",0,0,16512,"Prov5_Rural","Prov5_Rural_12",110.289452423252
1695,"Prov9","Dist17","Urban","65+","Female","Secondary",0,0,102164,"Prov9_Urban","Prov9_Urban_17",80.6751578884808
1696,"Prov6","Dist20","Rural","0-14","Female","Primary",0,0,26084,"Prov6_Rural","Prov6_Rural_1",115.536655419542
1697,"Prov6","Dist14","Urban","15-24","Male","Primary",1,1,27058,"Prov6_Urban","Prov6_Urban_8",106.840376940182
1698,"Prov9","Dist21","Rural","25-44","Female","Secondary",0,0,19080,"Prov9_Rural","Prov9_Rural_8",102.574445888518
1699,"Prov5","Dist24","Rural","25-44","Female","Tertiary",1,1,35673,"Prov5_Rural","Prov5_Rural_9",110.289452423252
1700,"Prov9","Dist30","Rural","45-64","Female","Primary",0,0,26415,"Prov9_Rural","Prov9_Rural_20",102.574445888518
1701,"Prov10","Dist27","Rural","25-44","Male","Primary",0,0,16802,"Prov10_Rural","Prov10_Rural_6",93.3899526908694
1702,"Prov9","Dist28","Urban","65+","Male","Tertiary",0,0,32455,"Prov9_Urban","Prov9_Urban_5",80.6751578884808
1703,"Prov10","Dist27","Urban","15-24","Male","Secondary",0,0,78830,"Prov10_Urban","Prov10_Urban_5",95.3933680941479
1704,"Prov6","Dist26","Urban","45-64","Male","Secondary",1,1,246649,"Prov6_Urban","Prov6_Urban_3",106.840376940182
1705,"Prov4","Dist30","Urban","65+","Female","Secondary",0,1,33920,"Prov4_Urban","Prov4_Urban_20",125.766945545763
1706,"Prov4","Dist10","Rural","15-24","Female","Secondary",0,0,8627,"Prov4_Rural","Prov4_Rural_12",95.2025594827289
1707,"Prov2","Dist15","Rural","0-14","Female","Secondary",0,0,46376,"Prov2_Rural","Prov2_Rural_5",104.857453934119
1708,"Prov8","Dist19","Urban","0-14","Female","None",1,0,42693,"Prov8_Urban","Prov8_Urban_3",86.7516533136787
1709,"Prov2","Dist10","Rural","25-44","Female","Tertiary",0,0,86681,"Prov2_Rural","Prov2_Rural_12",104.857453934119
1710,"Prov6","Dist23","Rural","25-44","Male","Primary",0,0,18716,"Prov6_Rural","Prov6_Rural_6",115.536655419542
1711,"Prov7","Dist15","Rural","65+","Male","Primary",0,0,29892,"Prov7_Rural","Prov7_Rural_8",94.777534377427
1712,"Prov2","Dist28","Rural","15-24","Male","Secondary",0,0,25675,"Prov2_Rural","Prov2_Rural_1",104.857453934119
1713,"Prov5","Dist3","Rural","65+","Female","Secondary",0,0,32095,"Prov5_Rural","Prov5_Rural_2",110.289452423252
1714,"Prov3","Dist12","Urban","45-64","Female","Secondary",0,1,65279,"Prov3_Urban","Prov3_Urban_18",95.0637042351494
1715,"Prov6","Dist23","Rural","45-64","Male","Tertiary",0,0,64779,"Prov6_Rural","Prov6_Rural_4",115.536655419542
1716,"Prov6","Dist23","Rural","45-64","Male","Primary",0,0,9374,"Prov6_Rural","Prov6_Rural_2",115.536655419542
1717,"Prov3","Dist20","Rural","45-64","Female","Tertiary",1,1,109690,"Prov3_Rural","Prov3_Rural_2",112.399215311118
1718,"Prov7","Dist15","Urban","65+","Male","Secondary",1,1,63652,"Prov7_Urban","Prov7_Urban_5",77.4277643529747
1719,"Prov8","Dist10","Rural","15-24","Female","Primary",1,1,30694,"Prov8_Rural","Prov8_Rural_14",98.3084531593788
1720,"Prov3","Dist24","Rural","15-24","Male","Primary",0,1,14877,"Prov3_Rural","Prov3_Rural_8",112.399215311118
1721,"Prov10","Dist27","Urban","15-24","Female","Secondary",0,1,8828,"Prov10_Urban","Prov10_Urban_2",95.3933680941479
1722,"Prov6","Dist9","Rural","25-44","Female","Secondary",0,0,41489,"Prov6_Rural","Prov6_Rural_18",115.536655419542
1723,"Prov7","Dist11","Rural","15-24","Female","Primary",0,0,10918,"Prov7_Rural","Prov7_Rural_4",94.777534377427
1724,"Prov8","Dist20","Rural","45-64","Female","Secondary",1,0,68846,"Prov8_Rural","Prov8_Rural_10",98.3084531593788
1725,"Prov8","Dist21","Urban","0-14","Male","None",1,1,36826,"Prov8_Urban","Prov8_Urban_13",86.7516533136787
1726,"Prov3","Dist18","Rural","15-24","Female","Primary",0,0,9512,"Prov3_Rural","Prov3_Rural_6",112.399215311118
1727,"Prov8","Dist26","Urban","15-24","Female","Tertiary",1,1,117906,"Prov8_Urban","Prov8_Urban_19",86.7516533136787
1728,"Prov8","Dist12","Rural","65+","Male","Tertiary",0,0,43426,"Prov8_Rural","Prov8_Rural_15",98.3084531593788
1729,"Prov5","Dist14","Rural","25-44","Male","Primary",0,0,19083,"Prov5_Rural","Prov5_Rural_3",110.289452423252
1730,"Prov5","Dist8","Rural","15-24","Female","Tertiary",0,0,34748,"Prov5_Rural","Prov5_Rural_1",110.289452423252
1731,"Prov1","Dist28","Rural","0-14","Female","Primary",1,0,21520,"Prov1_Rural","Prov1_Rural_12",139.103490345743
1732,"Prov8","Dist5","Rural","0-14","Male","Primary",0,0,17515,"Prov8_Rural","Prov8_Rural_2",98.3084531593788
1733,"Prov6","Dist13","Rural","65+","Female","Secondary",0,1,20284,"Prov6_Rural","Prov6_Rural_3",115.536655419542
1734,"Prov9","Dist11","Urban","25-44","Male","None",1,1,71223,"Prov9_Urban","Prov9_Urban_19",80.6751578884808
1735,"Prov2","Dist5","Urban","25-44","Female","Tertiary",1,0,81668,"Prov2_Urban","Prov2_Urban_4",131.832986879423
1736,"Prov8","Dist20","Urban","25-44","Female","Secondary",0,0,44394,"Prov8_Urban","Prov8_Urban_18",86.7516533136787
1737,"Prov4","Dist18","Urban","25-44","Female","Tertiary",1,1,189167,"Prov4_Urban","Prov4_Urban_9",125.766945545763
1738,"Prov5","Dist20","Urban","45-64","Male","Secondary",0,0,23539,"Prov5_Urban","Prov5_Urban_1",114.42922458093
1739,"Prov10","Dist5","Urban","15-24","Male","Tertiary",1,0,87149,"Prov10_Urban","Prov10_Urban_12",95.3933680941479
1740,"Prov1","Dist19","Urban","0-14","Male","Tertiary",1,0,71724,"Prov1_Urban","Prov1_Urban_16",103.035300315577
1741,"Prov4","Dist25","Rural","65+","Female","Primary",0,1,21806,"Prov4_Rural","Prov4_Rural_13",95.2025594827289
1742,"Prov6","Dist21","Urban","45-64","Male","Tertiary",0,1,42382,"Prov6_Urban","Prov6_Urban_16",106.840376940182
1743,"Prov1","Dist20","Urban","45-64","Male","Tertiary",1,0,409094,"Prov1_Urban","Prov1_Urban_15",103.035300315577
1744,"Prov4","Dist23","Rural","25-44","Female","None",0,0,9548,"Prov4_Rural","Prov4_Rural_10",95.2025594827289
1745,"Prov3","Dist23","Rural","65+","Male","Primary",0,1,10215,"Prov3_Rural","Prov3_Rural_16",112.399215311118
1746,"Prov2","Dist28","Rural","25-44","Female","None",1,1,64477,"Prov2_Rural","Prov2_Rural_3",104.857453934119
1747,"Prov6","Dist4","Rural","65+","Male","None",0,0,40497,"Prov6_Rural","Prov6_Rural_18",115.536655419542
1748,"Prov2","Dist7","Rural","25-44","Female","None",0,0,10258,"Prov2_Rural","Prov2_Rural_14",104.857453934119
1749,"Prov4","Dist6","Rural","45-64","Female","Primary",0,0,64248,"Prov4_Rural","Prov4_Rural_14",95.2025594827289
1750,"Prov10","Dist16","Rural","15-24","Female","Primary",0,0,9972,"Prov10_Rural","Prov10_Rural_13",93.3899526908694
1751,"Prov8","Dist8","Rural","0-14","Male","Primary",1,1,108046,"Prov8_Rural","Prov8_Rural_3",98.3084531593788
1752,"Prov7","Dist11","Rural","0-14","Female","Primary",0,0,16912,"Prov7_Rural","Prov7_Rural_7",94.777534377427
1753,"Prov3","Dist15","Rural","0-14","Female","None",1,1,26231,"Prov3_Rural","Prov3_Rural_7",112.399215311118
1754,"Prov4","Dist13","Rural","15-24","Female","Primary",0,0,13671,"Prov4_Rural","Prov4_Rural_14",95.2025594827289
