"respondent_id","age","urban_rural","education","mode","satisfaction","income_reported","responded","mode_weight"
763,71,"Urban","Low","Face-to-face",8.4,18638,0,1.30944625407166
764,48,"Urban","High","Web",8.2,100702,0,2.92361111111111
765,39,"Rural","Medium","Web",6.7,41547,1,2.92361111111111
766,34,"Urban","Medium","Face-to-face",9.3,23975,1,1.30944625407166
767,66,"Urban","Medium","Phone",6.7,31886,1,1.79284369114878
768,48,"Urban","High","Phone",6.7,27178,1,1.79284369114878
769,53,"Urban","Medium","Phone",7.2,44940,0,1.79284369114878
770,21,"Rural","High","Web",6.2,27278,0,2.92361111111111
771,26,"Urban","High","Web",5.6,17010,0,2.92361111111111
772,30,"Urban","Medium","Phone",6.6,81371,0,1.79284369114878
773,69,"Rural","Low","Face-to-face",6.3,70646,1,1.30944625407166
774,41,"Rural","Medium","Web",8.9,56885,1,2.92361111111111
775,45,"Rural","Medium","Face-to-face",9.5,64923,1,1.30944625407166
776,65,"Rural","High","Phone",8.4,63564,1,1.79284369114878
777,72,"Rural","Low","Phone",6.3,59651,1,1.79284369114878
778,32,"Rural","Low","Web",7,31069,1,2.92361111111111
779,73,"Urban","Medium","Face-to-face",8.7,100089,0,1.30944625407166
780,53,"Rural","Medium","Phone",7.4,64029,1,1.79284369114878
781,39,"Urban","Medium","Web",6.5,31747,0,2.92361111111111
782,72,"Rural","Medium","Face-to-face",6.8,19451,1,1.30944625407166
783,28,"Urban","High","Web",7.3,58769,0,2.92361111111111
784,71,"Rural","High","Phone",7.1,52349,1,1.79284369114878
785,43,"Urban","Medium","Phone",7.8,72070,0,1.79284369114878
786,61,"Rural","Low","Face-to-face",7.2,40360,1,1.30944625407166
787,25,"Rural","Medium","Face-to-face",8.3,19173,1,1.30944625407166
788,32,"Rural","Low","Face-to-face",6.7,61491,1,1.30944625407166
789,29,"Rural","Medium","Phone",7.5,31385,0,1.79284369114878
790,18,"Rural","Medium","Face-to-face",9.7,75675,1,1.30944625407166
791,45,"Rural","High","Web",5.7,43455,0,2.92361111111111
792,43,"Rural","High","Web",5.9,30922,0,2.92361111111111
793,38,"Urban","High","Web",5.7,42547,1,2.92361111111111
794,31,"Rural","Medium","Phone",8.1,35639,1,1.79284369114878
795,51,"Urban","Medium","Phone",7.2,26664,0,1.79284369114878
796,69,"Urban","High","Face-to-face",7.4,59958,0,1.30944625407166
797,73,"Urban","Low","Face-to-face",7.7,34922,1,1.30944625407166
798,71,"Urban","High","Web",7.5,56821,1,2.92361111111111
799,74,"Urban","Medium","Phone",5.7,35967,0,1.79284369114878
800,51,"Urban","Low","Face-to-face",8.6,15933,1,1.30944625407166
801,56,"Urban","Low","Face-to-face",9.2,48201,1,1.30944625407166
802,18,"Rural","Low","Phone",6.9,34070,1,1.79284369114878
803,40,"Rural","High","Phone",7.8,46919,0,1.79284369114878
804,77,"Urban","High","Web",4.4,77152,0,2.92361111111111
805,47,"Rural","Medium","Face-to-face",8.1,11845,1,1.30944625407166
806,62,"Urban","Medium","Web",6.3,29837,1,2.92361111111111
807,29,"Rural","Medium","Face-to-face",5.3,23887,1,1.30944625407166
808,25,"Rural","Medium","Web",7.1,33890,0,2.92361111111111
809,44,"Rural","Medium","Phone",7.7,22016,1,1.79284369114878
810,29,"Rural","Medium","Face-to-face",8.2,19885,0,1.30944625407166
811,76,"Rural","Medium","Face-to-face",9,78195,0,1.30944625407166
812,26,"Urban","Medium","Web",6.6,67718,1,2.92361111111111
813,79,"Rural","Low","Face-to-face",7.6,71370,1,1.30944625407166
814,51,"Rural","Medium","Phone",8.2,69106,1,1.79284369114878
815,26,"Urban","Low","Phone",7.9,54608,1,1.79284369114878
816,70,"Urban","Low","Face-to-face",8.7,115486,0,1.30944625407166
817,54,"Rural","Medium","Face-to-face",7.6,55968,1,1.30944625407166
818,20,"Urban","Medium","Web",7.9,18762,0,2.92361111111111
819,53,"Urban","Medium","Web",5.3,78158,0,2.92361111111111
820,74,"Urban","High","Web",6.2,32536,0,2.92361111111111
821,19,"Urban","High","Web",8.6,16385,0,2.92361111111111
822,38,"Urban","Low","Web",5.8,106980,0,2.92361111111111
823,53,"Rural","High","Web",5.6,19299,1,2.92361111111111
824,65,"Rural","Low","Face-to-face",7.3,34813,1,1.30944625407166
825,47,"Urban","Low","Phone",7.1,78103,1,1.79284369114878
826,22,"Rural","Medium","Face-to-face",8.5,114997,1,1.30944625407166
827,36,"Urban","Medium","Web",6.9,38661,0,2.92361111111111
828,33,"Urban","Medium","Phone",6.9,21311,1,1.79284369114878
829,45,"Urban","Low","Phone",8.1,16562,1,1.79284369114878
830,30,"Urban","Medium","Face-to-face",7.8,18816,1,1.30944625407166
831,60,"Urban","Medium","Phone",7.3,48656,1,1.79284369114878
832,47,"Rural","High","Face-to-face",7,34200,1,1.30944625407166
833,39,"Rural","Medium","Face-to-face",7.7,58151,1,1.30944625407166
834,50,"Urban","Low","Web",6.9,31360,1,2.92361111111111
835,26,"Rural","High","Web",6.3,80672,0,2.92361111111111
836,32,"Rural","Medium","Face-to-face",6.6,30261,1,1.30944625407166
837,20,"Rural","Medium","Face-to-face",8.8,35440,1,1.30944625407166
838,35,"Urban","Medium","Phone",6.4,24305,1,1.79284369114878
839,79,"Urban","Medium","Phone",5.4,55323,1,1.79284369114878
840,34,"Urban","High","Web",6.5,31135,0,2.92361111111111
841,35,"Rural","Medium","Face-to-face",8.5,74438,0,1.30944625407166
842,21,"Rural","Medium","Web",6.6,81157,0,2.92361111111111
843,67,"Urban","Medium","Web",8.3,44976,0,2.92361111111111
844,59,"Rural","Low","Phone",8.2,46987,1,1.79284369114878
845,30,"Rural","Medium","Face-to-face",7.6,83089,1,1.30944625407166
846,37,"Rural","Medium","Phone",4.7,31887,0,1.79284369114878
847,68,"Urban","Medium","Phone",5.1,16016,1,1.79284369114878
848,65,"Urban","Low","Face-to-face",8.8,27932,1,1.30944625407166
849,27,"Rural","Low","Face-to-face",9,67197,1,1.30944625407166
850,58,"Urban","Low","Phone",8.5,63273,0,1.79284369114878
851,19,"Urban","High","Phone",7.3,41341,1,1.79284369114878
852,44,"Urban","High","Phone",6.7,19330,0,1.79284369114878
853,61,"Urban","High","Phone",7.1,75458,0,1.79284369114878
854,35,"Rural","Medium","Face-to-face",8.4,37512,1,1.30944625407166
855,33,"Urban","Low","Phone",7.4,48675,1,1.79284369114878
856,28,"Rural","Medium","Face-to-face",6.7,79544,1,1.30944625407166
857,27,"Rural","High","Web",6.5,40456,1,2.92361111111111
858,54,"Rural","Medium","Web",6.7,23525,0,2.92361111111111
859,36,"Rural","Medium","Face-to-face",7.9,26901,1,1.30944625407166
860,31,"Urban","Medium","Web",8.1,42756,0,2.92361111111111
861,64,"Rural","High","Web",6.8,76480,0,2.92361111111111
862,37,"Rural","Medium","Face-to-face",8.6,86125,1,1.30944625407166
863,63,"Rural","Medium","Phone",6.9,92423,0,1.79284369114878
864,58,"Urban","Medium","Phone",7.2,24257,0,1.79284369114878
865,40,"Urban","Medium","Phone",8.8,57704,1,1.79284369114878
866,29,"Urban","Medium","Phone",8.7,31082,1,1.79284369114878
867,20,"Rural","Low","Face-to-face",7,22105,1,1.30944625407166
868,60,"Rural","Medium","Face-to-face",9.8,31162,1,1.30944625407166
869,22,"Rural","Medium","Face-to-face",8.1,23052,1,1.30944625407166
870,59,"Rural","Medium","Face-to-face",8.3,20561,1,1.30944625407166
871,25,"Urban","Medium","Face-to-face",9.7,10927,1,1.30944625407166
872,23,"Rural","High","Face-to-face",7.7,59635,1,1.30944625407166
873,39,"Rural","Low","Face-to-face",8,53450,1,1.30944625407166
874,36,"Urban","Low","Phone",8.8,20679,1,1.79284369114878
875,72,"Urban","High","Phone",6.7,61966,0,1.79284369114878
876,64,"Urban","Low","Web",6.3,67891,0,2.92361111111111
877,47,"Rural","Medium","Web",6.7,65220,1,2.92361111111111
878,52,"Urban","Medium","Phone",7.7,16414,0,1.79284369114878
879,42,"Rural","Medium","Face-to-face",8.6,38581,1,1.30944625407166
880,79,"Urban","Medium","Phone",6.3,34408,0,1.79284369114878
881,55,"Urban","Low","Phone",7,36601,0,1.79284369114878
882,63,"Rural","Medium","Face-to-face",9,110381,1,1.30944625407166
883,51,"Rural","Low","Face-to-face",7.2,64885,1,1.30944625407166
884,70,"Rural","Medium","Face-to-face",7.6,42708,1,1.30944625407166
885,45,"Urban","Low","Web",5.7,28820,1,2.92361111111111
886,28,"Rural","Medium","Face-to-face",8,51713,1,1.30944625407166
887,77,"Rural","High","Face-to-face",7.8,11827,0,1.30944625407166
888,62,"Urban","Medium","Face-to-face",7.5,51244,0,1.30944625407166
889,73,"Urban","High","Phone",6.3,37998,0,1.79284369114878
890,69,"Urban","Low","Phone",7.8,48725,1,1.79284369114878
891,70,"Urban","Low","Web",5.2,71534,0,2.92361111111111
892,68,"Rural","Low","Phone",6.9,43579,0,1.79284369114878
893,32,"Rural","High","Phone",5.7,42133,0,1.79284369114878
894,76,"Rural","Medium","Phone",5.7,51913,1,1.79284369114878
895,77,"Urban","Medium","Phone",6.7,28462,1,1.79284369114878
896,33,"Rural","Medium","Phone",5.1,23544,0,1.79284369114878
897,74,"Rural","High","Face-to-face",8.3,18316,0,1.30944625407166
898,68,"Rural","Medium","Phone",8.3,40143,1,1.79284369114878
899,64,"Rural","Medium","Face-to-face",6.2,64717,1,1.30944625407166
900,26,"Urban","Medium","Phone",5.6,115236,1,1.79284369114878
901,20,"Urban","Medium","Phone",5.1,87587,1,1.79284369114878
902,43,"Rural","Medium","Phone",8.2,44415,0,1.79284369114878
903,77,"Rural","High","Phone",6.3,54250,0,1.79284369114878
904,42,"Urban","Medium","Web",7.6,33420,0,2.92361111111111
905,59,"Urban","Medium","Web",6.6,47442,1,2.92361111111111
906,31,"Urban","Medium","Phone",6.2,36560,0,1.79284369114878
907,66,"Rural","Medium","Phone",6.9,22842,0,1.79284369114878
908,62,"Urban","Medium","Face-to-face",7.8,77680,1,1.30944625407166
909,27,"Rural","Low","Face-to-face",7.1,84445,1,1.30944625407166
910,32,"Rural","Medium","Face-to-face",7.5,35900,0,1.30944625407166
911,48,"Urban","Low","Web",5.1,24957,1,2.92361111111111
912,44,"Urban","Medium","Web",7,67001,0,2.92361111111111
913,65,"Rural","Medium","Face-to-face",7.8,38707,1,1.30944625407166
914,32,"Urban","Medium","Phone",8.4,26372,0,1.79284369114878
915,75,"Urban","Medium","Phone",6.6,26653,1,1.79284369114878
916,53,"Urban","Medium","Phone",4.9,34811,1,1.79284369114878
917,49,"Rural","High","Web",5.3,103710,0,2.92361111111111
918,54,"Urban","High","Phone",5.1,60816,0,1.79284369114878
919,79,"Rural","Medium","Phone",7.3,52612,0,1.79284369114878
920,62,"Rural","Low","Phone",8.1,38308,0,1.79284369114878
921,56,"Urban","Low","Face-to-face",8.1,39123,1,1.30944625407166
922,55,"Rural","High","Web",6.9,38429,0,2.92361111111111
923,24,"Rural","Medium","Face-to-face",8.9,7703,1,1.30944625407166
924,80,"Urban","Medium","Face-to-face",8.5,22475,0,1.30944625407166
925,39,"Rural","Low","Web",6.4,90574,0,2.92361111111111
926,70,"Urban","Medium","Phone",7.9,41942,1,1.79284369114878
927,38,"Urban","Medium","Phone",6.2,30888,1,1.79284369114878
928,42,"Rural","Low","Face-to-face",10.1,40121,1,1.30944625407166
929,67,"Urban","Medium","Face-to-face",6.3,43103,1,1.30944625407166
930,67,"Rural","Medium","Face-to-face",9.7,34386,0,1.30944625407166
931,33,"Urban","Medium","Face-to-face",9.8,24231,1,1.30944625407166
932,46,"Urban","High","Phone",6.3,97639,1,1.79284369114878
933,50,"Urban","Low","Web",4.9,28434,0,2.92361111111111
934,57,"Rural","Medium","Face-to-face",9,81348,1,1.30944625407166
935,48,"Urban","Medium","Phone",6.6,84678,0,1.79284369114878
936,61,"Rural","Medium","Face-to-face",7.8,26899,1,1.30944625407166
937,62,"Urban","Medium","Web",9,32730,1,2.92361111111111
938,70,"Urban","Low","Face-to-face",8.3,30683,1,1.30944625407166
939,18,"Urban","Low","Phone",6.5,38679,0,1.79284369114878
940,25,"Rural","Low","Face-to-face",7.6,68972,0,1.30944625407166
941,30,"Urban","Medium","Phone",7.3,49808,0,1.79284369114878
942,31,"Rural","High","Phone",8.6,59520,1,1.79284369114878
943,56,"Rural","High","Web",5.4,107477,0,2.92361111111111
944,40,"Rural","Low","Phone",8.4,13479,1,1.79284369114878
945,52,"Urban","Medium","Web",6.4,41272,1,2.92361111111111
946,59,"Rural","High","Face-to-face",6.9,57576,1,1.30944625407166
947,29,"Rural","Medium","Face-to-face",9.1,59451,0,1.30944625407166
948,28,"Rural","Medium","Face-to-face",6.8,27597,1,1.30944625407166
949,58,"Rural","Medium","Phone",6.3,30128,0,1.79284369114878
950,79,"Rural","Medium","Face-to-face",6.3,58157,1,1.30944625407166
951,75,"Rural","Low","Face-to-face",8,32157,1,1.30944625407166
952,52,"Rural","High","Face-to-face",7.2,30671,1,1.30944625407166
953,55,"Urban","Medium","Web",8.1,22876,0,2.92361111111111
954,25,"Rural","Medium","Web",6.9,43064,0,2.92361111111111
955,35,"Rural","Low","Phone",5.4,87930,0,1.79284369114878
956,24,"Urban","Medium","Web",4.4,68190,0,2.92361111111111
957,59,"Urban","Medium","Web",7.2,46579,1,2.92361111111111
958,53,"Urban","High","Web",6.8,53880,1,2.92361111111111
959,19,"Rural","Low","Phone",7.1,45640,1,1.79284369114878
960,34,"Rural","Medium","Face-to-face",8.3,32683,1,1.30944625407166
961,80,"Rural","Medium","Face-to-face",7.1,20156,0,1.30944625407166
962,39,"Rural","Medium","Face-to-face",8.9,18729,0,1.30944625407166
963,68,"Urban","Medium","Web",6.4,58143,0,2.92361111111111
964,32,"Rural","Medium","Phone",7.8,34963,1,1.79284369114878
965,41,"Urban","High","Phone",6.6,28620,0,1.79284369114878
966,51,"Rural","High","Web",5,51180,0,2.92361111111111
967,55,"Rural","Medium","Face-to-face",6.2,20423,1,1.30944625407166
968,30,"Rural","Medium","Web",8.1,100755,0,2.92361111111111
969,58,"Urban","Low","Phone",6.1,26203,0,1.79284369114878
970,67,"Rural","High","Phone",7.5,73426,1,1.79284369114878
971,28,"Rural","Medium","Face-to-face",7.7,35301,1,1.30944625407166
972,60,"Urban","High","Web",6.7,44217,0,2.92361111111111
973,27,"Urban","Medium","Face-to-face",8.7,28580,1,1.30944625407166
974,50,"Urban","Low","Phone",6.9,39075,1,1.79284369114878
975,79,"Urban","High","Phone",7,23631,1,1.79284369114878
976,74,"Urban","High","Web",6,97109,0,2.92361111111111
977,24,"Urban","Medium","Web",4.8,56999,0,2.92361111111111
978,24,"Rural","Low","Phone",5.9,79825,1,1.79284369114878
979,29,"Urban","Medium","Phone",7,62471,1,1.79284369114878
980,47,"Urban","Medium","Web",7.4,35007,0,2.92361111111111
981,75,"Rural","High","Face-to-face",7.5,39791,1,1.30944625407166
982,30,"Rural","High","Phone",7.4,37969,1,1.79284369114878
983,74,"Urban","Medium","Face-to-face",7.8,42601,1,1.30944625407166
984,51,"Rural","Low","Phone",6.5,37785,1,1.79284369114878
985,28,"Rural","Low","Face-to-face",7.2,22693,1,1.30944625407166
986,78,"Urban","Medium","Face-to-face",8.2,37747,0,1.30944625407166
987,31,"Rural","Medium","Face-to-face",8.4,62335,1,1.30944625407166
988,38,"Rural","Medium","Phone",7.6,41138,0,1.79284369114878
989,46,"Urban","Low","Web",7.2,76647,0,2.92361111111111
990,36,"Urban","Low","Web",6,47540,0,2.92361111111111
991,78,"Urban","Medium","Phone",7.2,30126,1,1.79284369114878
992,76,"Rural","Low","Face-to-face",8,41032,1,1.30944625407166
993,35,"Rural","Medium","Face-to-face",6.8,77641,1,1.30944625407166
994,57,"Urban","High","Phone",6.1,24293,1,1.79284369114878
995,69,"Rural","Medium","Face-to-face",8.3,56638,1,1.30944625407166
996,61,"Rural","Medium","Face-to-face",6,33787,1,1.30944625407166
997,77,"Rural","Medium","Face-to-face",8.3,51526,1,1.30944625407166
998,19,"Urban","Medium","Phone",7.8,18240,0,1.79284369114878
999,57,"Urban","Medium","Web",5.7,33705,0,2.92361111111111
1000,41,"Urban","Medium","Phone",6.4,38540,1,1.79284369114878
1001,22,"Urban","Medium","Phone",6.5,61149,0,1.79284369114878
1002,71,"Urban","Low","Face-to-face",8.7,39276,1,1.30944625407166
1003,66,"Urban","Medium","Web",6.5,21684,0,2.92361111111111
1004,42,"Rural","High","Phone",6.5,25063,0,1.79284369114878
1005,37,"Urban","Medium","Face-to-face",7.8,32533,1,1.30944625407166
1006,58,"Urban","High","Phone",6.4,103089,1,1.79284369114878
1007,31,"Rural","Medium","Web",7.8,63356,1,2.92361111111111
1008,45,"Urban","Low","Phone",8.4,74570,1,1.79284369114878
1009,48,"Urban","Medium","Phone",8.3,11610,0,1.79284369114878
1010,41,"Rural","Medium","Phone",9.2,29557,0,1.79284369114878
1011,63,"Rural","High","Phone",6.8,42278,0,1.79284369114878
1012,42,"Urban","Medium","Face-to-face",8.8,28815,1,1.30944625407166
1013,77,"Urban","Medium","Face-to-face",6,29097,1,1.30944625407166
1014,62,"Urban","Low","Web",7.7,47202,1,2.92361111111111
1015,47,"Rural","Medium","Face-to-face",7.2,51425,0,1.30944625407166
1016,60,"Urban","Low","Phone",5.2,84238,1,1.79284369114878
1017,52,"Rural","High","Face-to-face",9,34779,1,1.30944625407166
1018,65,"Rural","Medium","Face-to-face",7.7,25848,0,1.30944625407166
1019,66,"Urban","Medium","Phone",5.9,64998,0,1.79284369114878
1020,42,"Urban","High","Web",7.1,38560,0,2.92361111111111
1021,24,"Urban","Low","Web",4.7,149907,0,2.92361111111111
1022,61,"Urban","Medium","Phone",5.4,24055,1,1.79284369114878
1023,46,"Rural","High","Phone",8.2,44754,1,1.79284369114878
1024,27,"Urban","Medium","Face-to-face",6.9,107762,1,1.30944625407166
1025,36,"Rural","Low","Face-to-face",7.1,76493,1,1.30944625407166
1026,74,"Urban","Medium","Web",6.7,46563,1,2.92361111111111
1027,65,"Urban","Low","Face-to-face",8.1,33349,0,1.30944625407166
1028,42,"Urban","Low","Web",6.2,39804,1,2.92361111111111
1029,28,"Rural","High","Web",5.4,24414,0,2.92361111111111
1030,79,"Urban","Medium","Phone",7.5,13097,1,1.79284369114878
1031,71,"Urban","Medium","Phone",6.8,14948,1,1.79284369114878
1032,41,"Urban","Low","Web",5.6,114560,1,2.92361111111111
1033,51,"Rural","Low","Phone",6.3,35192,0,1.79284369114878
1034,22,"Urban","High","Web",5.6,35778,0,2.92361111111111
1035,44,"Rural","Low","Face-to-face",7.4,36684,1,1.30944625407166
1036,52,"Rural","Low","Face-to-face",7.4,44952,1,1.30944625407166
1037,60,"Urban","Medium","Web",4.3,52814,0,2.92361111111111
1038,43,"Rural","Medium","Face-to-face",7.1,67548,1,1.30944625407166
1039,61,"Urban","High","Web",5.2,53949,0,2.92361111111111
1040,72,"Rural","Medium","Face-to-face",7.7,49961,1,1.30944625407166
1041,70,"Urban","Medium","Face-to-face",7.9,40629,1,1.30944625407166
1042,18,"Rural","Low","Face-to-face",7.8,28336,1,1.30944625407166
1043,77,"Urban","Medium","Phone",8.5,25054,0,1.79284369114878
1044,40,"Urban","Medium","Web",6.3,43044,0,2.92361111111111
1045,57,"Urban","Medium","Face-to-face",8.8,39625,0,1.30944625407166
1046,27,"Rural","High","Web",7,19567,1,2.92361111111111
1047,41,"Rural","Medium","Face-to-face",8,37554,1,1.30944625407166
1048,80,"Urban","Low","Phone",5.3,50800,0,1.79284369114878
1049,37,"Urban","High","Phone",6.3,18551,0,1.79284369114878
1050,37,"Rural","Medium","Phone",6,66929,0,1.79284369114878
1051,77,"Urban","High","Web",6.7,152133,1,2.92361111111111
1052,63,"Rural","Medium","Face-to-face",8.3,57389,1,1.30944625407166
1053,78,"Urban","High","Phone",7.1,27937,1,1.79284369114878
1054,68,"Rural","Medium","Phone",7.6,51620,1,1.79284369114878
1055,31,"Urban","High","Web",7.1,34989,1,2.92361111111111
1056,36,"Rural","Medium","Face-to-face",8.4,47497,0,1.30944625407166
1057,57,"Urban","Low","Phone",6.9,55685,1,1.79284369114878
1058,30,"Rural","Low","Face-to-face",7.5,67160,1,1.30944625407166
1059,66,"Urban","Medium","Phone",6.9,28608,0,1.79284369114878
1060,25,"Rural","Medium","Phone",6.8,55365,0,1.79284369114878
1061,69,"Rural","Medium","Face-to-face",8,39693,1,1.30944625407166
1062,50,"Urban","High","Web",4,17766,0,2.92361111111111
1063,76,"Rural","Medium","Phone",4.7,28705,0,1.79284369114878
1064,21,"Urban","Medium","Phone",8,26595,1,1.79284369114878
1065,54,"Urban","Medium","Phone",5.7,17738,1,1.79284369114878
1066,55,"Urban","Low","Web",5.7,36537,0,2.92361111111111
1067,49,"Rural","High","Face-to-face",7.6,66441,0,1.30944625407166
1068,32,"Rural","Medium","Phone",7.5,84229,0,1.79284369114878
1069,65,"Rural","Medium","Phone",6.4,43657,1,1.79284369114878
1070,34,"Urban","Low","Phone",8.3,42766,1,1.79284369114878
1071,54,"Rural","Medium","Face-to-face",8.4,23779,1,1.30944625407166
1072,48,"Urban","High","Web",5.4,38287,0,2.92361111111111
1073,69,"Rural","Low","Face-to-face",8.1,63041,0,1.30944625407166
1074,34,"Urban","High","Web",6.8,68478,0,2.92361111111111
1075,34,"Urban","Medium","Web",7.1,17176,1,2.92361111111111
1076,47,"Urban","Medium","Phone",7.3,33769,1,1.79284369114878
1077,48,"Rural","High","Phone",7.3,21665,0,1.79284369114878
1078,61,"Rural","Medium","Face-to-face",8.5,20829,1,1.30944625407166
1079,30,"Urban","Medium","Phone",6.9,35116,0,1.79284369114878
1080,80,"Rural","Low","Face-to-face",9.2,51445,1,1.30944625407166
1081,69,"Rural","High","Phone",7.5,32376,0,1.79284369114878
1082,39,"Rural","High","Web",6.4,40555,0,2.92361111111111
1083,39,"Rural","Medium","Face-to-face",9.2,56674,1,1.30944625407166
1084,21,"Urban","Medium","Web",7.1,34616,1,2.92361111111111
1085,66,"Urban","Low","Face-to-face",7.5,15173,0,1.30944625407166
1086,57,"Urban","Medium","Web",4.8,82031,0,2.92361111111111
1087,41,"Rural","Medium","Face-to-face",7.8,101011,0,1.30944625407166
1088,50,"Urban","High","Web",5.5,32902,0,2.92361111111111
1089,59,"Rural","Low","Phone",7.4,31683,1,1.79284369114878
1090,71,"Rural","Medium","Face-to-face",9.1,17625,1,1.30944625407166
1091,59,"Urban","Medium","Web",6.5,46350,1,2.92361111111111
1092,32,"Urban","Low","Face-to-face",8.1,23497,1,1.30944625407166
1093,52,"Urban","Medium","Phone",7.3,52096,1,1.79284369114878
1094,77,"Urban","Low","Face-to-face",8.3,39841,1,1.30944625407166
1095,22,"Rural","High","Phone",5.5,44147,1,1.79284369114878
1096,25,"Rural","Medium","Phone",5.8,53521,1,1.79284369114878
1097,25,"Rural","Low","Face-to-face",7.3,49451,1,1.30944625407166
1098,40,"Rural","Low","Face-to-face",8.5,52079,1,1.30944625407166
1099,41,"Urban","High","Web",6.5,31611,0,2.92361111111111
1100,55,"Rural","Low","Face-to-face",8.6,16494,1,1.30944625407166
1101,53,"Urban","High","Phone",7.5,48525,1,1.79284369114878
1102,42,"Rural","Medium","Face-to-face",5.9,92133,1,1.30944625407166
1103,20,"Rural","Medium","Web",7,63533,0,2.92361111111111
1104,56,"Urban","High","Phone",7.3,62991,0,1.79284369114878
1105,33,"Urban","Medium","Web",6.6,37683,1,2.92361111111111
1106,73,"Rural","Low","Face-to-face",7,21568,1,1.30944625407166
1107,72,"Rural","High","Phone",6.5,29678,1,1.79284369114878
1108,47,"Urban","Medium","Web",5.9,29511,0,2.92361111111111
1109,44,"Rural","Medium","Face-to-face",8.3,25620,0,1.30944625407166
1110,67,"Rural","Low","Face-to-face",8.5,29504,1,1.30944625407166
1111,52,"Urban","Low","Web",6.2,27376,0,2.92361111111111
1112,67,"Rural","High","Phone",8,46711,1,1.79284369114878
1113,26,"Urban","Low","Phone",7.7,14397,1,1.79284369114878
1114,73,"Urban","Medium","Phone",7.3,42867,1,1.79284369114878
1115,64,"Rural","Medium","Face-to-face",9.3,77196,1,1.30944625407166
1116,79,"Urban","High","Phone",6.4,26238,0,1.79284369114878
1117,64,"Rural","Low","Face-to-face",7.4,42540,1,1.30944625407166
1118,58,"Rural","High","Phone",6.3,73066,0,1.79284369114878
1119,54,"Urban","Medium","Web",7.4,13218,0,2.92361111111111
1120,46,"Rural","Low","Face-to-face",8,17978,1,1.30944625407166
1121,43,"Rural","High","Face-to-face",6.4,45838,1,1.30944625407166
1122,60,"Rural","Low","Phone",6.7,29975,1,1.79284369114878
1123,57,"Urban","High","Web",7.4,39003,0,2.92361111111111
1124,49,"Rural","Medium","Face-to-face",8.8,35635,1,1.30944625407166
1125,64,"Urban","Low","Phone",6.8,44701,1,1.79284369114878
1126,61,"Rural","Low","Face-to-face",9.4,57689,1,1.30944625407166
1127,26,"Urban","Medium","Web",7.2,70116,0,2.92361111111111
1128,67,"Rural","Low","Face-to-face",8.3,51625,1,1.30944625407166
1129,19,"Rural","Medium","Phone",7.5,36852,1,1.79284369114878
1130,49,"Rural","High","Phone",6.1,26441,0,1.79284369114878
1131,37,"Rural","Medium","Face-to-face",7.1,33821,0,1.30944625407166
1132,42,"Urban","Medium","Face-to-face",6.1,41978,1,1.30944625407166
1133,35,"Rural","Medium","Web",7.6,27379,1,2.92361111111111
1134,68,"Urban","Low","Phone",7.2,94044,1,1.79284369114878
1135,36,"Rural","Medium","Face-to-face",9,19280,1,1.30944625407166
1136,78,"Rural","High","Face-to-face",8,61056,0,1.30944625407166
1137,35,"Urban","Low","Face-to-face",7.4,25402,1,1.30944625407166
1138,72,"Urban","High","Web",6.8,90535,0,2.92361111111111
1139,57,"Urban","Medium","Web",5.5,26723,0,2.92361111111111
1140,61,"Rural","Medium","Face-to-face",10,40815,1,1.30944625407166
1141,22,"Urban","Medium","Web",8,44553,0,2.92361111111111
1142,18,"Rural","Medium","Face-to-face",8,38152,1,1.30944625407166
1143,21,"Urban","Medium","Face-to-face",9.9,30898,1,1.30944625407166
1144,70,"Urban","Medium","Phone",8.7,46341,1,1.79284369114878
1145,67,"Rural","Medium","Phone",6.5,62897,0,1.79284369114878
1146,36,"Urban","High","Web",7,83192,1,2.92361111111111
1147,20,"Rural","Medium","Face-to-face",7.2,33734,1,1.30944625407166
1148,20,"Urban","Low","Face-to-face",8.5,29638,1,1.30944625407166
1149,27,"Urban","Low","Face-to-face",8.1,56391,1,1.30944625407166
1150,58,"Rural","Medium","Face-to-face",5.5,33586,1,1.30944625407166
1151,78,"Urban","Low","Phone",7.7,76579,1,1.79284369114878
1152,39,"Rural","Low","Face-to-face",8.8,39406,1,1.30944625407166
1153,54,"Rural","Medium","Face-to-face",6.9,20945,1,1.30944625407166
1154,35,"Urban","High","Web",8.2,63333,0,2.92361111111111
1155,55,"Urban","Low","Phone",6.4,36004,1,1.79284369114878
1156,65,"Urban","Medium","Face-to-face",7.9,67398,1,1.30944625407166
1157,35,"Rural","Medium","Face-to-face",8.5,29713,1,1.30944625407166
1158,50,"Rural","Medium","Phone",6.4,20594,0,1.79284369114878
1159,68,"Rural","Medium","Face-to-face",7,50335,1,1.30944625407166
1160,62,"Rural","Low","Face-to-face",6.2,76512,1,1.30944625407166
1161,26,"Urban","Medium","Face-to-face",8.2,79577,1,1.30944625407166
1162,31,"Urban","Low","Phone",6.6,75388,0,1.79284369114878
1163,78,"Rural","Medium","Face-to-face",8.3,43815,0,1.30944625407166
1164,62,"Rural","Medium","Face-to-face",8.2,38016,1,1.30944625407166
1165,61,"Rural","Medium","Face-to-face",8.6,59167,1,1.30944625407166
1166,42,"Rural","High","Phone",6.5,25348,1,1.79284369114878
1167,79,"Rural","Medium","Face-to-face",8.1,76430,1,1.30944625407166
