"id","province","area","psu_id","income","household_size","has_electricity","employment_status","education_years","dwelling_type","water_access","internet_access","health_insurance","chronic_illness","known_pop_province","known_pop_area","stratum","psu_size"
1910,"KZN","Rural",184,139436,3,1,"Not in Labor Force",15,"Formal","Public_Tap",1,1,0,11500000,13300000,"KZN_Rural",47
1911,"Gauteng","Urban",83,109013.4,6,1,"Not in Labor Force",10,"Informal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",59
1912,"KZN","Rural",49,14334,5,1,"Not in Labor Force",13,"Formal","Piped",1,1,1,11500000,13300000,"KZN_Rural",51
1913,"KZN","Urban",39,3659.2,4,1,"Employed",13,"Formal","Piped",0,1,0,11500000,24500000,"KZN_Urban",57
1914,"Limpopo","Urban",7,41330.8,3,1,"Employed",14,"Informal","Well",1,1,1,5800000,24500000,"Limpopo_Urban",40
1915,"KZN","Urban",28,318424,3,0,"Not in Labor Force",9,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",52
1916,"KZN","Rural",188,8549,6,1,"Unemployed",10,"Formal","Public_Tap",1,1,1,11500000,13300000,"KZN_Rural",49
1917,"KZN","Urban",115,47078.4,3,1,"Employed",8,"Formal","Piped",0,1,0,11500000,24500000,"KZN_Urban",68
1918,"KZN","Urban",179,120395.2,6,1,"Employed",11,"Traditional","Public_Tap",1,0,0,11500000,24500000,"KZN_Urban",62
1919,"Limpopo","Rural",91,12825.9,6,1,"Not in Labor Force",13,"Formal","Piped",1,1,0,5800000,13300000,"Limpopo_Rural",49
1920,"KZN","Rural",86,22674,6,1,"Employed",10,"Formal","Public_Tap",0,1,1,11500000,13300000,"KZN_Rural",39
1921,"Western Cape","Urban",155,34151.3,2,0,"Employed",11,"Traditional","Piped",0,1,0,4700000,24500000,"Western Cape_Urban",41
1922,"Gauteng","Urban",41,50266.8,5,1,"Not in Labor Force",14,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",46
1923,"Gauteng","Urban",104,22829.4,4,0,"Not in Labor Force",16,"Formal","Piped",0,1,1,15800000,24500000,"Gauteng_Urban",53
1924,"Limpopo","Urban",122,50495.2,3,1,"Employed",13,"Formal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",54
1925,"Limpopo","Urban",196,39449.2,4,1,"Not in Labor Force",11,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",47
1926,"KZN","Urban",89,20475.2,4,1,"Employed",11,"Informal","Public_Tap",1,1,1,11500000,24500000,"KZN_Urban",68
1927,"Gauteng","Urban",148,15341.4,4,1,"Employed",15,"Formal","Public_Tap",0,0,0,15800000,24500000,"Gauteng_Urban",59
1928,"Limpopo","Urban",21,2815.4,5,1,"Unemployed",11,"Traditional","Well",1,0,1,5800000,24500000,"Limpopo_Urban",60
1929,"Gauteng","Urban",122,160844.4,1,0,"Employed",5,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",54
1930,"Western Cape","Rural",184,8485.4,4,1,"Not in Labor Force",11,"Formal","Piped",1,1,0,4700000,13300000,"Western Cape_Rural",47
1931,"KZN","Rural",187,21023,6,0,"Unemployed",11,"Informal","Piped",0,0,0,11500000,13300000,"KZN_Rural",43
1932,"Limpopo","Rural",168,19342.8,7,0,"Not in Labor Force",10,"Informal","Well",1,1,1,5800000,13300000,"Limpopo_Rural",61
1933,"KZN","Rural",117,26194,3,0,"Not in Labor Force",9,"Formal","Piped",1,0,1,11500000,13300000,"KZN_Rural",47
1934,"Gauteng","Urban",177,16680.6,5,1,"Not in Labor Force",7,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",53
1935,"KZN","Rural",64,2538,3,1,"Not in Labor Force",10,"Informal","Well",1,1,0,11500000,13300000,"KZN_Rural",64
1936,"KZN","Urban",111,62984,4,0,"Not in Labor Force",10,"Informal","Piped",0,1,0,11500000,24500000,"KZN_Urban",45
1937,"Gauteng","Urban",45,9043.2,5,1,"Unemployed",9,"Informal","Well",1,0,0,15800000,24500000,"Gauteng_Urban",54
1938,"Gauteng","Urban",177,19438.2,6,1,"Not in Labor Force",10,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",53
1939,"Gauteng","Rural",99,20575.2,3,1,"Employed",15,"Formal","Piped",1,1,0,15800000,13300000,"Gauteng_Rural",45
1940,"Limpopo","Urban",113,78029,5,0,"Employed",10,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",50
1941,"Limpopo","Urban",100,88928,4,0,"Employed",4,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",60
1942,"Gauteng","Urban",100,409336.2,5,0,"Employed",8,"Formal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",60
1943,"Gauteng","Rural",61,9172.8,3,1,"Employed",8,"Formal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",53
1944,"Gauteng","Rural",167,9884.4,4,1,"Employed",11,"Formal","Public_Tap",0,0,0,15800000,13300000,"Gauteng_Rural",57
1945,"Gauteng","Urban",168,42964.2,5,1,"Not in Labor Force",8,"Formal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",61
1946,"Gauteng","Rural",13,26941.2,3,1,"Not in Labor Force",12,"Formal","Well",1,0,1,15800000,13300000,"Gauteng_Rural",50
1947,"KZN","Urban",149,146305.6,5,1,"Employed",11,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",53
1948,"KZN","Urban",189,6248,8,1,"Employed",11,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",51
1949,"Limpopo","Rural",25,17393.4,3,1,"Employed",8,"Formal","Public_Tap",1,1,0,5800000,13300000,"Limpopo_Rural",43
1950,"Limpopo","Urban",124,7364,3,1,"Not in Labor Force",11,"Formal","Public_Tap",1,1,0,5800000,24500000,"Limpopo_Urban",55
1951,"KZN","Rural",16,32479,2,1,"Not in Labor Force",8,"Formal","Piped",1,0,0,11500000,13300000,"KZN_Rural",53
1952,"Gauteng","Rural",183,17126.4,2,0,"Employed",9,"Formal","Piped",1,1,0,15800000,13300000,"Gauteng_Rural",51
1953,"KZN","Urban",116,12966.4,5,0,"Employed",14,"Informal","Well",1,0,0,11500000,24500000,"KZN_Urban",50
1954,"Gauteng","Rural",29,10426.8,10,1,"Unemployed",15,"Formal","Public_Tap",1,1,0,15800000,13300000,"Gauteng_Rural",50
1955,"Western Cape","Urban",155,17462.4,6,1,"Not in Labor Force",8,"Formal","Well",1,1,0,4700000,24500000,"Western Cape_Urban",41
1956,"Gauteng","Urban",177,127944,5,1,"Employed",8,"Formal","Other",1,0,0,15800000,24500000,"Gauteng_Urban",53
1957,"Gauteng","Rural",136,6838.8,3,1,"Not in Labor Force",14,"Formal","Piped",1,0,0,15800000,13300000,"Gauteng_Rural",49
1958,"Limpopo","Urban",167,3528,4,0,"Employed",8,"Informal","Well",0,0,0,5800000,24500000,"Limpopo_Urban",57
1959,"Gauteng","Rural",155,36808.8,6,1,"Employed",9,"Formal","Well",0,1,0,15800000,13300000,"Gauteng_Rural",41
1960,"KZN","Urban",109,103731.2,5,1,"Employed",3,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",56
1961,"Gauteng","Urban",53,71168.4,5,0,"Employed",12,"Formal","Well",1,1,0,15800000,24500000,"Gauteng_Urban",50
1962,"Limpopo","Rural",16,5404.5,3,1,"Employed",9,"Formal","Piped",0,1,1,5800000,13300000,"Limpopo_Rural",53
1963,"KZN","Urban",128,141827.2,3,1,"Employed",3,"Informal","Well",1,1,1,11500000,24500000,"KZN_Urban",40
1964,"Western Cape","Urban",189,84110.9,4,1,"Employed",14,"Formal","Piped",0,0,0,4700000,24500000,"Western Cape_Urban",51
1965,"KZN","Urban",92,115652.8,3,1,"Unemployed",5,"Formal","Public_Tap",1,1,1,11500000,24500000,"KZN_Urban",53
1966,"Gauteng","Urban",30,2176.2,6,1,"Employed",9,"Formal","Piped",1,1,1,15800000,24500000,"Gauteng_Urban",49
1967,"Gauteng","Urban",156,29379.6,7,1,"Employed",12,"Informal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",53
1968,"KZN","Urban",154,20587.2,5,1,"Employed",12,"Informal","Piped",0,1,0,11500000,24500000,"KZN_Urban",46
1969,"Gauteng","Urban",87,37387.8,4,1,"Not in Labor Force",12,"Formal","Well",0,1,0,15800000,24500000,"Gauteng_Urban",47
1970,"Limpopo","Rural",103,22360.5,1,1,"Employed",14,"Formal","Public_Tap",1,1,0,5800000,13300000,"Limpopo_Rural",43
1971,"KZN","Urban",173,10217.6,6,1,"Employed",13,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",35
1972,"KZN","Rural",156,75426,5,0,"Not in Labor Force",13,"Informal","Piped",0,1,0,11500000,13300000,"KZN_Rural",53
1973,"KZN","Urban",90,43712,9,1,"Unemployed",15,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",50
1974,"Western Cape","Rural",180,325.6,3,0,"Unemployed",10,"Informal","Well",0,1,0,4700000,13300000,"Western Cape_Rural",41
1975,"Gauteng","Urban",26,4644,5,1,"Not in Labor Force",6,"Informal","Public_Tap",0,0,0,15800000,24500000,"Gauteng_Urban",43
1976,"KZN","Rural",28,14916,4,0,"Unemployed",8,"Traditional","Piped",0,0,0,11500000,13300000,"KZN_Rural",52
1977,"Gauteng","Urban",106,64641.6,5,1,"Not in Labor Force",13,"Traditional","Well",0,0,0,15800000,24500000,"Gauteng_Urban",49
1978,"KZN","Urban",18,10176,7,1,"Not in Labor Force",12,"Formal","Well",1,1,0,11500000,24500000,"KZN_Urban",62
1979,"KZN","Rural",77,21283,5,1,"Employed",9,"Formal","Piped",0,1,0,11500000,13300000,"KZN_Rural",47
1980,"Limpopo","Urban",64,14873.6,6,1,"Employed",12,"Formal","Well",0,0,0,5800000,24500000,"Limpopo_Urban",64
1981,"Gauteng","Rural",83,41690.4,2,1,"Not in Labor Force",9,"Formal","Piped",1,0,1,15800000,13300000,"Gauteng_Rural",59
1982,"KZN","Rural",44,28402,4,0,"Not in Labor Force",17,"Formal","Piped",1,0,0,11500000,13300000,"KZN_Rural",43
1983,"Limpopo","Rural",199,14174.1,6,1,"Not in Labor Force",12,"Formal","Piped",1,0,0,5800000,13300000,"Limpopo_Rural",51
1984,"Limpopo","Urban",104,23965.2,4,0,"Not in Labor Force",15,"Formal","Well",0,0,0,5800000,24500000,"Limpopo_Urban",53
1985,"KZN","Urban",178,3704,4,0,"Unemployed",11,"Formal","Piped",1,0,1,11500000,24500000,"KZN_Urban",48
1986,"KZN","Rural",88,95160,6,0,"Unemployed",10,"Formal","Public_Tap",0,0,0,11500000,13300000,"KZN_Rural",47
1987,"Gauteng","Rural",119,40684.8,5,1,"Employed",13,"Formal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",38
1988,"Limpopo","Rural",81,8187.3,3,1,"Not in Labor Force",12,"Formal","Piped",0,0,0,5800000,13300000,"Limpopo_Rural",52
1989,"Limpopo","Urban",45,7606.2,4,1,"Employed",8,"Formal","Other",0,0,0,5800000,24500000,"Limpopo_Urban",54
1990,"Gauteng","Urban",82,55375.2,2,1,"Employed",11,"Formal","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",51
1991,"Western Cape","Urban",121,13941.7,6,1,"Employed",13,"Formal","Piped",1,1,0,4700000,24500000,"Western Cape_Urban",46
1992,"Gauteng","Urban",179,119683.8,5,1,"Employed",9,"Formal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",62
1993,"Gauteng","Rural",56,42752.4,7,1,"Employed",11,"Traditional","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",53
1994,"KZN","Urban",2,30902.4,6,1,"Employed",11,"Informal","Piped",1,0,0,11500000,24500000,"KZN_Urban",45
1995,"Gauteng","Urban",20,66900.6,4,1,"Employed",9,"Informal","Well",1,0,0,15800000,24500000,"Gauteng_Urban",53
1996,"KZN","Urban",11,57307.2,1,0,"Not in Labor Force",12,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",59
1997,"Gauteng","Urban",111,75952.8,2,0,"Unemployed",8,"Formal","Piped",1,1,1,15800000,24500000,"Gauteng_Urban",45
1998,"Gauteng","Urban",91,7626.6,4,1,"Not in Labor Force",8,"Formal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",49
1999,"Limpopo","Urban",56,33009.2,5,0,"Unemployed",10,"Informal","Well",1,0,1,5800000,24500000,"Limpopo_Urban",53
2000,"Limpopo","Urban",189,22649.2,4,1,"Employed",5,"Formal","Public_Tap",1,0,0,5800000,24500000,"Limpopo_Urban",51
2001,"KZN","Urban",146,138134.4,6,1,"Employed",5,"Traditional","Piped",0,0,0,11500000,24500000,"KZN_Urban",41
2002,"Limpopo","Rural",175,19680.3,4,0,"Not in Labor Force",9,"Formal","Piped",1,0,0,5800000,13300000,"Limpopo_Rural",35
2003,"Gauteng","Urban",136,4867.2,3,0,"Not in Labor Force",11,"Formal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",49
2004,"KZN","Rural",18,56288,6,1,"Not in Labor Force",7,"Formal","Piped",1,1,0,11500000,13300000,"KZN_Rural",62
2005,"Gauteng","Urban",97,7115.4,5,1,"Unemployed",10,"Informal","Piped",1,1,1,15800000,24500000,"Gauteng_Urban",52
2006,"Limpopo","Urban",164,50909.6,2,0,"Not in Labor Force",12,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",45
2007,"KZN","Rural",180,7624,4,1,"Unemployed",14,"Formal","Piped",1,1,0,11500000,13300000,"KZN_Rural",41
2008,"Gauteng","Urban",126,23536.8,5,1,"Unemployed",7,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",52
2009,"KZN","Urban",135,15790.4,6,0,"Unemployed",8,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",30
2010,"Limpopo","Rural",142,21226.5,5,0,"Employed",10,"Formal","Well",1,0,1,5800000,13300000,"Limpopo_Rural",49
2011,"Gauteng","Rural",109,19243.2,2,1,"Not in Labor Force",12,"Formal","Well",1,0,0,15800000,13300000,"Gauteng_Rural",56
2012,"KZN","Urban",52,2899.2,3,1,"Not in Labor Force",9,"Informal","Piped",1,0,1,11500000,24500000,"KZN_Urban",73
2013,"Gauteng","Rural",180,47296.8,7,1,"Employed",8,"Formal","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",41
2014,"Western Cape","Urban",125,13826.1,5,1,"Not in Labor Force",11,"Informal","Piped",1,0,1,4700000,24500000,"Western Cape_Urban",48
2015,"Gauteng","Urban",32,33156,4,0,"Employed",14,"Formal","Piped",0,0,0,15800000,24500000,"Gauteng_Urban",53
2016,"Gauteng","Rural",111,18656.4,2,1,"Employed",11,"Formal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",45
2017,"Limpopo","Rural",24,6941.7,7,0,"Not in Labor Force",12,"Informal","Public_Tap",1,0,0,5800000,13300000,"Limpopo_Rural",59
2018,"KZN","Rural",93,63260,10,1,"Employed",12,"Informal","Public_Tap",0,1,0,11500000,13300000,"KZN_Rural",55
2019,"Gauteng","Rural",77,9141.6,4,0,"Not in Labor Force",17,"Formal","Public_Tap",0,1,1,15800000,13300000,"Gauteng_Rural",47
2020,"Limpopo","Rural",53,14425.2,3,1,"Employed",12,"Formal","Piped",0,0,0,5800000,13300000,"Limpopo_Rural",50
2021,"Limpopo","Rural",191,57018.6,3,1,"Employed",5,"Informal","Public_Tap",0,0,0,5800000,13300000,"Limpopo_Rural",46
2022,"Gauteng","Rural",188,774802.8,7,1,"Unemployed",6,"Traditional","Piped",1,0,0,15800000,13300000,"Gauteng_Rural",49
2023,"Limpopo","Urban",131,26377.4,5,1,"Not in Labor Force",9,"Formal","Public_Tap",0,1,0,5800000,24500000,"Limpopo_Urban",54
2024,"KZN","Urban",174,39068.8,4,1,"Employed",7,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",40
2025,"Gauteng","Rural",26,10814.4,1,1,"Unemployed",3,"Formal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",43
2026,"Western Cape","Rural",93,66888.8,9,1,"Not in Labor Force",11,"Traditional","Piped",0,0,0,4700000,13300000,"Western Cape_Rural",55
2027,"KZN","Urban",90,292960,6,1,"Employed",11,"Formal","Piped",0,0,1,11500000,24500000,"KZN_Urban",50
2028,"Limpopo","Urban",100,5444.6,5,0,"Employed",8,"Formal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",60
2029,"Gauteng","Urban",134,27673.2,3,1,"Not in Labor Force",2,"Informal","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",37
2030,"KZN","Urban",17,3115.2,4,1,"Employed",9,"Formal","Piped",1,0,1,11500000,24500000,"KZN_Urban",56
2031,"Gauteng","Urban",55,237033,3,1,"Employed",10,"Formal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",41
2032,"KZN","Rural",61,2606,3,1,"Employed",14,"Formal","Piped",1,1,1,11500000,13300000,"KZN_Rural",53
2033,"Limpopo","Urban",57,14442.4,7,0,"Not in Labor Force",7,"Informal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",49
2034,"Gauteng","Urban",73,23495.4,5,1,"Employed",12,"Informal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",44
2035,"Gauteng","Urban",37,268713,6,0,"Unemployed",7,"Informal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",53
2036,"KZN","Rural",193,166472,10,1,"Employed",9,"Informal","Piped",1,0,0,11500000,13300000,"KZN_Rural",43
2037,"Gauteng","Urban",114,110845.8,4,1,"Not in Labor Force",10,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",62
2038,"Gauteng","Urban",38,170411.4,4,1,"Unemployed",6,"Formal","Piped",0,0,0,15800000,24500000,"Gauteng_Urban",56
2039,"KZN","Urban",162,84582.4,5,1,"Unemployed",15,"Formal","Well",1,0,0,11500000,24500000,"KZN_Urban",41
2040,"Limpopo","Urban",43,52773,7,1,"Employed",13,"Formal","Public_Tap",1,0,0,5800000,24500000,"Limpopo_Urban",55
2041,"KZN","Urban",24,48462.4,3,1,"Employed",11,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",59
2042,"KZN","Rural",39,4232,2,1,"Not in Labor Force",13,"Formal","Public_Tap",1,0,0,11500000,13300000,"KZN_Rural",57
2043,"Gauteng","Urban",185,16419.6,2,1,"Employed",10,"Informal","Public_Tap",1,1,1,15800000,24500000,"Gauteng_Urban",47
2044,"Gauteng","Urban",110,58725,2,1,"Employed",14,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",60
2045,"Gauteng","Rural",69,416394,3,1,"Not in Labor Force",11,"Formal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",45
2046,"Western Cape","Rural",80,4834.5,10,1,"Employed",10,"Traditional","Piped",1,0,0,4700000,13300000,"Western Cape_Rural",47
2047,"KZN","Urban",187,109524.8,4,1,"Employed",6,"Formal","Public_Tap",0,0,0,11500000,24500000,"KZN_Urban",43
2048,"KZN","Urban",100,32552,5,1,"Not in Labor Force",10,"Informal","Piped",0,1,0,11500000,24500000,"KZN_Urban",60
2049,"KZN","Urban",41,15873.6,6,1,"Not in Labor Force",11,"Traditional","Well",1,0,0,11500000,24500000,"KZN_Urban",46
2050,"Limpopo","Urban",82,69336.4,5,1,"Not in Labor Force",14,"Formal","Well",1,1,0,5800000,24500000,"Limpopo_Urban",51
2051,"KZN","Urban",198,107032,4,1,"Not in Labor Force",14,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",43
2052,"Gauteng","Rural",141,15368.4,3,1,"Employed",8,"Traditional","Public_Tap",1,1,0,15800000,13300000,"Gauteng_Rural",51
2053,"Gauteng","Urban",86,179636.4,6,1,"Employed",7,"Formal","Well",1,0,1,15800000,24500000,"Gauteng_Urban",39
2054,"KZN","Urban",167,7462.4,4,1,"Employed",8,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",57
2055,"Western Cape","Urban",38,47304.2,4,0,"Not in Labor Force",15,"Traditional","Other",0,1,0,4700000,24500000,"Western Cape_Urban",56
2056,"Gauteng","Urban",106,106592.4,3,0,"Not in Labor Force",10,"Formal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",49
2057,"Western Cape","Urban",6,162426.5,3,1,"Employed",10,"Formal","Piped",1,0,1,4700000,24500000,"Western Cape_Urban",48
2058,"Gauteng","Urban",42,18932.4,7,1,"Employed",11,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",54
2059,"KZN","Rural",140,4276,4,1,"Employed",12,"Formal","Public_Tap",1,1,1,11500000,13300000,"KZN_Rural",54
2060,"Gauteng","Urban",56,17917.2,4,1,"Employed",7,"Informal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",53
2061,"Gauteng","Rural",61,35666.4,3,0,"Not in Labor Force",9,"Traditional","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",53
2062,"Limpopo","Rural",78,9209.7,4,0,"Unemployed",12,"Formal","Piped",0,0,1,5800000,13300000,"Limpopo_Rural",56
2063,"Gauteng","Rural",191,7162.8,4,0,"Employed",8,"Informal","Well",0,0,0,15800000,13300000,"Gauteng_Rural",46
2064,"KZN","Urban",185,31766.4,6,0,"Not in Labor Force",7,"Informal","Well",1,0,0,11500000,24500000,"KZN_Urban",47
2065,"KZN","Urban",180,18809.6,5,0,"Not in Labor Force",7,"Formal","Public_Tap",1,0,0,11500000,24500000,"KZN_Urban",41
2066,"Gauteng","Urban",41,7673.4,6,1,"Employed",3,"Formal","Public_Tap",1,0,1,15800000,24500000,"Gauteng_Urban",46
2067,"Gauteng","Rural",49,29205.6,4,1,"Employed",15,"Formal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",51
2068,"KZN","Urban",36,179849.6,8,1,"Employed",13,"Traditional","Other",0,1,0,11500000,24500000,"KZN_Urban",45
2069,"Gauteng","Urban",21,2476.8,2,1,"Not in Labor Force",14,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",60
2070,"KZN","Rural",6,24926,2,1,"Employed",8,"Formal","Public_Tap",1,0,0,11500000,13300000,"KZN_Rural",48
2071,"Gauteng","Urban",177,65104.2,6,1,"Not in Labor Force",8,"Formal","Piped",1,0,1,15800000,24500000,"Gauteng_Urban",53
2072,"KZN","Urban",177,26115.2,5,0,"Employed",8,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",53
2073,"Western Cape","Rural",190,11524.7,4,1,"Employed",7,"Formal","Piped",0,0,0,4700000,13300000,"Western Cape_Rural",37
2074,"KZN","Rural",194,48226,3,1,"Employed",5,"Formal","Other",0,0,0,11500000,13300000,"KZN_Rural",50
2075,"Gauteng","Rural",132,11460,5,1,"Employed",8,"Formal","Public_Tap",1,0,1,15800000,13300000,"Gauteng_Rural",67
2076,"Western Cape","Urban",168,55430.2,3,1,"Employed",5,"Informal","Well",1,1,0,4700000,24500000,"Western Cape_Urban",61
2077,"Western Cape","Rural",151,15384.6,3,1,"Unemployed",8,"Formal","Well",0,0,1,4700000,13300000,"Western Cape_Rural",42
2078,"KZN","Rural",171,4011,6,0,"Not in Labor Force",10,"Formal","Piped",0,1,0,11500000,13300000,"KZN_Rural",50
2079,"KZN","Urban",165,2761.6,2,0,"Employed",18,"Informal","Piped",0,1,0,11500000,24500000,"KZN_Urban",53
2080,"Gauteng","Rural",64,83392.8,3,1,"Not in Labor Force",11,"Traditional","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",64
2081,"Gauteng","Urban",92,28045.8,3,1,"Not in Labor Force",11,"Informal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",53
2082,"Gauteng","Urban",19,49257,4,1,"Employed",18,"Formal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",55
2083,"Western Cape","Urban",52,95932.7,2,1,"Not in Labor Force",9,"Formal","Piped",1,1,0,4700000,24500000,"Western Cape_Urban",73
2084,"Gauteng","Urban",132,62631,5,1,"Not in Labor Force",8,"Formal","Piped",1,1,1,15800000,24500000,"Gauteng_Urban",67
2085,"KZN","Urban",159,3710.4,5,1,"Not in Labor Force",13,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",58
2086,"Western Cape","Urban",18,18956.7,3,0,"Not in Labor Force",10,"Formal","Piped",1,1,0,4700000,24500000,"Western Cape_Urban",62
2087,"KZN","Rural",1,22655,3,1,"Employed",11,"Formal","Public_Tap",0,1,0,11500000,13300000,"KZN_Rural",41
2088,"Western Cape","Urban",130,88687.3,4,0,"Employed",8,"Informal","Public_Tap",0,1,1,4700000,24500000,"Western Cape_Urban",67
2089,"KZN","Urban",183,7072,5,1,"Employed",13,"Formal","Other",1,0,0,11500000,24500000,"KZN_Urban",51
2090,"KZN","Rural",159,11475,3,1,"Not in Labor Force",12,"Formal","Public_Tap",0,1,0,11500000,13300000,"KZN_Rural",58
2091,"Western Cape","Rural",71,5084.2,5,1,"Not in Labor Force",7,"Formal","Piped",1,1,0,4700000,13300000,"Western Cape_Rural",55
2092,"KZN","Urban",1,17635.2,6,1,"Employed",12,"Formal","Piped",0,0,1,11500000,24500000,"KZN_Urban",41
2093,"Limpopo","Rural",61,2720.7,4,1,"Not in Labor Force",12,"Traditional","Public_Tap",1,0,0,5800000,13300000,"Limpopo_Rural",53
2094,"Gauteng","Urban",155,125098.2,9,1,"Employed",2,"Formal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",41
2095,"Gauteng","Urban",118,185360.4,5,1,"Employed",14,"Traditional","Public_Tap",0,0,0,15800000,24500000,"Gauteng_Urban",47
2096,"Gauteng","Urban",168,30209.4,2,1,"Employed",6,"Formal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",61
2097,"Gauteng","Rural",17,199773.6,5,1,"Employed",5,"Formal","Well",1,1,0,15800000,13300000,"Gauteng_Rural",56
2098,"KZN","Urban",23,21723.2,3,0,"Employed",7,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",52
2099,"Gauteng","Urban",111,25794,3,1,"Unemployed",10,"Formal","Well",0,1,0,15800000,24500000,"Gauteng_Urban",45
2100,"KZN","Urban",110,89012.8,5,1,"Employed",8,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",60
2101,"Limpopo","Rural",30,2693.7,2,1,"Not in Labor Force",10,"Formal","Well",0,0,1,5800000,13300000,"Limpopo_Rural",49
2102,"KZN","Rural",55,25005,3,1,"Unemployed",10,"Informal","Public_Tap",0,1,0,11500000,13300000,"KZN_Rural",41
2103,"KZN","Urban",48,7643.2,5,1,"Employed",12,"Formal","Well",0,1,0,11500000,24500000,"KZN_Urban",60
2104,"Gauteng","Rural",167,48033.6,4,0,"Employed",9,"Formal","Piped",1,1,1,15800000,13300000,"Gauteng_Rural",57
2105,"KZN","Urban",137,8400,4,1,"Not in Labor Force",8,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",61
2106,"Limpopo","Rural",199,19709.1,3,0,"Not in Labor Force",16,"Informal","Piped",0,1,0,5800000,13300000,"Limpopo_Rural",51
2107,"KZN","Rural",30,26983,8,1,"Employed",9,"Formal","Well",1,0,0,11500000,13300000,"KZN_Rural",49
2108,"KZN","Rural",123,4377,2,1,"Employed",7,"Formal","Piped",1,0,0,11500000,13300000,"KZN_Rural",64
2109,"Western Cape","Urban",132,16915,3,1,"Not in Labor Force",8,"Informal","Piped",1,1,1,4700000,24500000,"Western Cape_Urban",67
2110,"Gauteng","Urban",64,210888,6,1,"Employed",8,"Informal","Well",1,0,0,15800000,24500000,"Gauteng_Urban",64
2111,"KZN","Urban",24,8728,5,0,"Employed",11,"Formal","Public_Tap",1,0,1,11500000,24500000,"KZN_Urban",59
